"AID","GSWGT4_2"
"91579296",3956.805280672
"91579335",3954.821040982
"91579339",4722.475647774
"91579932",4201.239163384
"91579936",4201.239163384
"91579939",3454.244897854
"91579942",3058.407891434
"91579946",2364.399858792
"91579962",2559.585568686
"91579964",2489.85728493
"91579967",3314.323902044
"91579980",3977.505915275
"91579987",4527.674358957
"91579992",3703.069480181
"91579993",4710.216599527
"91579994",3574.166089007
"91579995",3658.28160948
"91579997",3703.069480181
"91608077",5668.87860077
"91608475",5830.824880745
"91608476",4489.594197124
"91614079",5735.376087071
"91614578",3488.446363987
"91614772",3488.446363987
"91614777",4771.10366836
"91614874",3980.398774776
"91614974",4771.10366836
"91614978",4764.564022113
"91619061",6429.598047366
"91619063",6030.626264028
"91619064",6281.578952837
"91619169",6621.15461427
"91619268",3769.932124503
"91619467",6334.2198932
"91619660",8161.38006963
"91619665",6621.15461427
"91619862",8161.38006963
"91624978",3980.398774776
"91646122",6847.796135459
"91646126",3635.822907624
"91676253",4020.085850735
"91676357",2384.162666555
"91676522",3974.085291343
"91676652",3330.729286854
"91676958",4712.640622349
"91678173",5279.218064377
"91678373",5456.455535378
"91678572",1093.862474502
"91678674",4172.735059845
"91710018",5253.334970991
"91710037",5470.284059612
"91710130",5841.43294552
"91710173",7239.277546578
"91710183",3657.674123376
"91710214",2560.351157016
"91710232",6861.337456982
"91710252",3197.801148508
"91710287",1519.388597633
"91710293",5171.612579033
"91710339",5470.284059612
"91710454",7010.575750214
"91710655",7368.274219773
"91710852",5081.347224968
"91710915",7697.409774395
"91710973",7239.277546578
"91710996",4994.188490377
"91710998",4994.188490377
"91711065",4014.161489581
"91711167",8167.476029576
"91711277",4878.900479947
"91711476",7419.913619351
"91711865",5177.692345652
"91712211",6166.113955699
"91712217",4012.498590669
"91712273",3452.196133296
"91712274",6754.764496653
"91712298",4635.999936571
"91712314",6585.212224997
"91712371",3499.805610329
"91712372",3599.547504099
"91712375",1517.868872563
"91712378",4647.87399997
"91712842",5597.859989881
"91712901",21057.933849316
"91712902",19026.303349267
"91712905",22054.394747957
"91712908",21057.933849316
"91712909",21057.933849316
"91712918",4012.498590669
"91712946",7986.687649919
"91712998",3370.750511323
"91713006",7444.678433454
"91713031",5351.881749885
"91713039",5883.27665109
"91713106",591.948547389
"91713190",4590.584515173
"91713298",5648.224446674
"91713604",775.659158038
"91713997",2622.849930452
"91713998",4681.555123211
"91714043",5110.189875222
"91714046",5110.189875222
"91714099",5907.061880842
"91714128",6248.017426489
"91714144",5813.606983314
"91714212",6104.393870976
"91714231",8328.186719954
"91714235",3988.496278742
"91714237",4461.846278638
"91714326",6489.593431078
"91714332",6014.930104822
"91714338",3499.049626521
"91714928",6489.593431078
"91714938",5560.034937771
"91714987",5457.062300888
"91715124",1398.424948777
"91715256",4037.237857933
"91715280",5620.661594688
"91715282",5620.661594688
"91715286",4660.257694941
"91715365",6838.510813434
"91715828",1398.424948777
"91715892",4978.132623942
"91715920",5467.012706712
"91715921",1642.689016121
"91715927",1642.689016121
"91715952",3309.815917735
"91715958",3309.815917735
"91715983",5620.661594688
"91715984",2640.291758117
"91715991",733.143385731
"91716018",5554.230103129
"91716080",6699.676096953
"91716096",3004.081220018
"91716098",5363.70290547
"91716116",4342.134243034
"91716136",4326.699530278
"91716158",3079.235544874
"91716161",3364.03727045
"91716275",563.66967951
"91716281",5815.262903524
"91716288",6043.764733641
"91716321",4461.240601087
"91716484",5815.262903524
"91716890",2833.672983958
"91716902",4300.132566907
"91716903",4300.132566907
"91716908",4379.461039669
"91716952",3079.235544874
"91717055",1242.146884406
"91717067",6437.575053449
"91717169",3829.239882678
"91717853",6978.655712926
"91717858",6978.655712926
"91717862",5270.323542863
"91717865",5270.323542863
"91717910",5987.326204
"91717912",6157.771271632
"91717916",6214.865187486
"91717918",5987.326204
"91718001",3037.349047383
"91718004",3489.460425125
"91718025",1418.788365174
"91718073",6375.840586994
"91718077",7142.361046103
"91718080",4828.986214052
"91718081",1089.337292942
"91718085",4828.986214052
"91718105",1152.681892011
"91718109",1152.681892011
"91718142",6245.597549521
"91718174",6375.840586994
"91718195",7101.696826582
"91718209",1425.003755411
"91718287",992.010557903
"91718294",6236.933873966
"91718302",1366.623462195
"91718320",4593.920016121
"91718368",6459.912185538
"91718379",7126.521155147
"91718844",6245.597549521
"91718916",4786.342011667
"91718949",6453.085482535
"91718960",3029.599932743
"91718969",1863.13176335
"91719273",15049.667047148
"91719375",6622.634953524
"91719930",2048.697141257
"91719931",1756.751756497
"91719932",2072.366617087
"91719934",2048.697141257
"91719937",1735.759722943
"92316359",4330.268298687
"92374970",2659.522177407
"92374975",2943.506211089
"92374978",3082.792850759
"92374979",2943.506211089
"92500037",5507.493166767
"92500081",5049.773639632
"92500119",6764.405160161
"92500184",932.979393502
"92500219",4357.562125377
"92500618",5577.373902992
"92500739",5507.493166767
