"AID","ResidentMotherPresence","ResidentFatherPresence","ResidentBiologicalParents","ParentMarried","ParentPartnered","HouseholdSize","NumberSiblings","BirthOrder","ParentAge","MotherEducation","FatherEducation","MotherOccupationPrestige","FatherOccupationPrestige","MotherWorkForPay","FatherWorkForPay","FamilyIncome","PublicAssistance","Welfare","EconomicHardship","FamilySocialSupport","SharedDinner","IntergenerationalClosure","ParentConnectionFriends","MotherRelationshipQuality","FatherRelationshipQuality","MotherSharedActivity","FatherSharedActivity","ParentPartnerRelationship","ParentControl","MotherSupervision","FatherSupervision","MotherInvolveSchool","FatherInvolveSchool","ParentPTA","ParentFundRaise","ParentMetTeacher","MotherEducationExpectation","FatherEducationExpectation","MotherNativity","FatherNativity","ParentYearsInUS","ParentReligiosity","EnglishHome","ParentHealth","ParentSmoke","MotherAlcoholic","FatherAlcoholic","MotherObese","FatherObese","MotherDisable","FatherDisable","SmokerHousehold","DrugHousehold","FamilyAccessMedicalCare","ParentPreviousRelationship","NonresidentBioFatherDeceased","YearsLiveStepfather","BornToAdolescentParent","Sex","Age","Latinx","Black","NativeAmerican","AAPI","OtherRace","EmotionalAbuse","PhysicalAbuse","BioMotherIncarceration","BioFatherIncarceration","EducationAttainment"
"92573816",1,1,1,1,1,3,1,2,39,13,14,5,3,1,1,4.11087386417331,0,0,0,3,3,2,6,3.4,2.4,4,1,0.131756333573896,1,3,1,0,0,0,NA,NA,2.5,2.5,1,1,39,2.5,1,4,1,0,0,1,0,0,0,1,0,4,1,0.7259314,7.569198,0,1,15.25,0,0,1,0,0,0,0,0,0,14
"92573818",1,1,1,1,1,3,1,1,39,13,13,5,3,1,1,4.11087386417331,0,0,0,4.25,7,3,6,4.6,4.6,3,3,0.131756333573896,1,3,1,1,1,0,NA,NA,4.5,4.5,1,1,39,2.5,1,4,1,0,0,1,0,0,0,1,1,4,1,0.7259314,7.569198,0,0,16.5,0,0,0,0,0,0,0,0,0,16
"92573916",1,1,1,1,1,4,2,1,37,12,14,2,5,1,1,3.66356164612965,0,0,0,4.25,7,4,3,5,4.4,6,5,-0.0686695676091736,0,2,2,2,3,0,1,1,5,5,1,1,37,2.5,1,4,0,0,0,1,0,0,0,0,0,4,1,0.7259314,7.569198,0,1,15.6666666666667,0,0,0,0,0,0,0,0,0,16
"92573917",1,1,1,1,1,3,1,1,48,16,16,4,5,1,1,4.54329478227,0,0,0,2.25,4,1,3,3.2,3.8,2,1,-0.269095468792243,4,1,1,0,0,0,NA,NA,5,4.5,1,1,48,2.5,1,4,0,0,0,0,0,0,0,0,0,4,1,0.7259314,7.569198,0,0,15,0,0,0,0,0,0,0,0,0,17
"92573942",1,1,1,NA,NA,2,0,3,NA,12,12,2,3,1,1,NA,NA,NA,NA,4,5,NA,NA,4.2,4.2,2,1,NA,0,2,2,0,0,NA,NA,NA,4.5,4.5,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0.7259314,7.569198,NA,1,18.5,0,0,0,0,0,0,0,0,0,12
"92573943",1,1,1,1,1,2,0,3,46,12,12,4,3,1,1,3.78418963391826,0,0,0,4.75,7,3,3,5,5,3,4,-0.469521369975313,2,3,0,1,3,1,1,1,4,5,1,1,46,3.5,1,3,0,0,1,0,1,0,0,0,0,4,1,0.7259314,7.569198,0,0,13.0833333333333,0,0,0,0,0,2,0,0,0,12
"92573945",1,1,1,1,1,2,0,1,45,10,12,2,3,0,1,3.2188758248682,0,1,1,3.75,6,3,3,4.8,4.6,3,3,-1.3656232525432,1,3,1,2,2,0,NA,NA,3.5,3.5,1,1,45,3,1,2,0,0,1,1,0,0,0,0,0,1,2,0.7259314,7.569198,0,1,13.3333333333333,0,0,0,0,0,0,0,0,0,14
"92573958",1,1,1,1,1,2,0,3,44,12,14,2,3,1,1,3.49650756146648,0,0,0,5,7,6,6,5,5,6,6,0.532608135940035,5,1,3,2,2,0,0,1,5,4.5,1,1,15.75,4,1,4,0,0,0,1,0,0,0,0,0,4,1,0.7259314,7.569198,0,1,15.9166666666667,0,0,0,0,0,0,0,0,0,14
"92574010",1,0,0,0,0,1,0,1,37,10,13.36908,1,3.347201,0,0.929593,1.09861228866811,0,1,0,4.75,5,3,3,4.4,4.243704,9,2.910392,-0.0005413742,3,3,1.100092,3,1.068472,1,0,1,3.5,4.363035,1,0.8700154,37,4,1,4,1,0,0.06048632,0,0.1127865,0,0.05724351,1,0,4,2,0,7.569198,0,1,18.6666666666667,0,0,1,0,0,3,2,0,0,12
"92574018",0,1,0,1,1,1,0,1,38,13.22558,NA,3.350598,3,0.7734247,1,3.36729582998647,0,0,0,4.75,4,0,4,4.430109,4.4,3.951984,4,-0.904516693212042,0,2.090406,1,1.280745,0,0,NA,NA,4.341575,1,0.8798627,1,38,2,1,3,1,0.0141125,0,0.1901437,0,0.04313021,0,1,0,4,2,0.7259314,7.569198,0,0,16.4166666666667,0,0,0,0,0,2,5,0,3,10
